Nr.;Autor;Titel;Format;Inhaltsbeschreibung;Genre;Verlag;Sprache;Zustand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Doyle, Arthur Conan;Das Notizbuch von Sherlock Holmes;;;Kriminalroman;Kiepenheuer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Doyle, Arthur Conan;5 Fälle des Sherlock Holmes;;;Kriminalroman;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Dumas, Alexandre;Gabriel Lambert;;;Roman;Velag Das Neue Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Dumas, Alexandre;Die Königin Margot;;;Roman;Rütten und Loening;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Durian, Wolf;Zwei Erzählungen;;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Ellis, Mell;Verdacht gegen Danny;;;Abenteuerbuch;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Farrell, Gillian B.;Die Muse des Mörders;;;Kriminalroman;Goldmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Fielding, Henry;Joseph Andrews` Abenteuer;;;Abenteuerbuch;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Fleck, Heinrich;Interessantes von Brille und Kontaktlinse;;;Erklärungen;Fachbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Flügge, Gerhard;Zille - Bilder;;;Karikturen;Das neue Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Fontane, Theodor;Effi Briest;;;Roman;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Fühmann, Franz;Reineke Fuchs;;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Funke, Cornelia;Leselöwen Rittergeschichten;Hardcover;;Kinderbuch;Loewe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Gaidar, Arkadi;Timur und sein Trupp;;;Abenteuerbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Geelhaar, Anne;Das Sternenschiff;;;Märchen;Altberliner Verlag Lucie Groszer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Geelhaar, Anne Frost, Ingeborg;Hinterm Busch zwei lange Ohren;;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Gerstäcker, Friedrich;Die Regulatoren in Arkansas;;;Western;Gustav Kiepenheuer Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Gerstäcker, Friedrich;Gold ;;;Roman;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Granger, Ann;Ein schöner Ort zum Sterben;Paperback;6. Fall Mitchell & Markby;Kriminalroman;Bastei Lübbe;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Griebner, Reinhard;Die Glasprobe und andere zerbrechliche Geschichten;;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Brüder Grimm;Schneeweißchen und Rosenrot;;;Märchen;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Brüder Grimm;Kinder und Hausmärchen;;;Märchensammlung;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Grisham, John;Die Firma;Hardcover mit Einband;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Hanisch, Michael;Über ihn lach(t)en Millionen: Charlie Chaplin;;;Biografie;Henscherverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Harris, Thomas;Das Schweigen der Lämmer;Paperback;;Kriminalroman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Härtling, Peter;Oma;;;Kinderbuch;Beltz;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Hasek, Jaroslav;Die Abenteuer des braven Soldaten Schwejk B 1;;;Roman;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Hasek, Jaroslav;Die Abenteuer des braven Soldaten Schwejk B 2;;;Roman;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Hegen, Hannes;Mosaik B 1     Die Digedags in Amerika;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Hegen, Hannes;Mosaik B 2     Die Digedags am Mississippi;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Hegen, Hannes;Mosaik B 4     Die Digedags in den Rocky Mountains;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Hegen, Hannes;Mosaik B 5     Die Digedags in New Orleans;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Hegen, Hannes;Mosaik B 6     Die Digedags am Missouri;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Hegen, Hannes;Mosaik B 7     Die Digedags und der Goldschatz;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Hegen, Hannes;Mosaik B 8     Die Digedags in Panama;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Hegen, Hannes;Mosaik B 9     Die Digedags und die Pirateninsel;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Hegen, Hannes;Mosaik B 10   Die Digedags in New York;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Hegen, Hannes;Mosaik B 1     Die Reise nach Venedig;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Hegen, Hannes;Mosaik B 2     Auf der Spur von Digedag;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Hegen, Hannes;Mosaik B 3     In den Bergen Dalamatiens;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Hegen, Hannes;Mosaik B 4     Abenteuer am Bosporus;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Hegen, Hannes;Mosaik Bd 5     Die Hochzeit in Byzanz;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Hegen, Hannes;Mosaik B 6     Auf der Insel Pordoselene;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Hegen, Hannes;Mosaik B 7     Suleikas Hochzeitsgeschenk;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Hegen, Hannes;Mosaik B 8     Auf dem Weg zur Schatzinsel;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Hegen, Hannes;Mosaik B 9    Wiedersehen mit Digedag;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Hegen, Hannes;Mosaik B 10   Ritter Runkels Grosse Stunde;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Hegen, Hannes;Mosaik B 1    Circus Digedag;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Hegen, Hannes;Mosaik B 2    Verschwörung in Rom;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Hegen, Hannes;Mosaik B 20  Die Pickelhaube;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Hegen, Hannes;Mosaik B 3    Die Seeschlacht;Hardcover;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Heidebrecht, Brigitte;Folge mir, sprach mein Schatten;;;Märchensammlung;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Herz, Wilfried Viktor;Ein fall für zwei - Blutiges Geld;;;Kriminalroman;Moewig;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;Hoffmann, Dr. Heinr.;Der Struwwelpeter;;;Märchen;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;Hoffmann, Manfred;Der Fliegende Holländer;;;Kinderbuch;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Horowitz, Anthony;Die Malteser des Falken;;;Kriminalroman;Bastei;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Hummel, Lore;Eichhörnchens Reise nach Dripsdrill;;;Kinderbuch;Dessart;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;Hummel, Lore ;Laßt uns beten!;;;Gebetsbuch;Engelbert Dessart Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;Inkiow, Dimiter;Das Abc-Zauberbuch;;;Kinderbuch;Schneider Buch;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;James, P. D.;Wer sein Haus auf Sünden baut;;;Kriminalroman;Droemer Knaur Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;James, P. D.;Vorsatz und Begierde;Hardcover mit Einband;;Kriminalroman;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;James, P. D.;Ein reizender Job für eine Frau;;;Kriminalroman;Volk und Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;Janosch;Schnuddel pflanzt einen Gummibärenbaum;;;Kinderbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;Kellermann, Bernhard;Der Tunnel;;;Abenteuerbuch;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Kemal, Jaschar;Memed mein Falke;;;Kinderbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;Kieser, Jürgen;Fix und Fax;;;Kinderbuch;Junge Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Kirchner, Gottfried;Terra-X von Babylon zum Bernsteinwald;Paperback;;Nachschlagewerk;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;Kisch, Egon Erwin;China geheim;;;Roman;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;Klatt, Edith;Adlers Dank;;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;Knorre, Fjodor;Freund Schwarzauge;;;Märchen;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Könner, Alfred;Fertig macht sich Nikolaus;;;Kinderbuch;Altberliner Verlag Lucie Groszer;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;Korall, Harald;Die Stunde vor Mitternacht;;;Kriminalroman;Mitteldeutscher Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;Korschunow, Irina;Hanno malt sich einen Drachen;;;Kinderbuch;Deutscher Tschenbuchverlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;Köthe, Dr. Rainer;Was ist Was B 5 Entdecker und ihre Reisen ;;;Nachschlagewerk;Tessloff Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;Kröger, Alexander;Expedition Mikro;;;Kinderbuch;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Krumbach, Walter;Das freche Böcklein;;;Kinderbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;Kurvinen, Jorma;Schäferhund Roi   Das Abenteuer auf den Schären;;;Kinderbuch;Moewig;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Kurze, Manfred;Mensch, Gesundheit, Erste Hilfe;;;Nachschlagewerk;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Langley, Andrew;Das große Bilderbuch der Fragen und Antworten;;;Nachschlagewerk;Karl Müller Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;Legere, Werner;Unter Kosaren verschollen;;;Kinderbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;Lem, Stanislaw;Das Fiasko;;;Roman;Volk und Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Lem, Stanislaw;Solaris;;;Roman;Volk und Welt;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
